Project Key,Issue Type,Issue ID,Summary,Description,Epic Name,Epic Link,Labels,Story Points
{JIRA_PROJECT_KEY},Epic,E-FND,Foundation / Repo / CI,"Epic Name: Foundation / Repo / CI
Establish monorepo, Dockerized env, and CI baselines to build/test and publish images.",Foundation / Repo / CI,,mvp infra ci docs,
{JIRA_PROJECT_KEY},Epic,E-AUTH,Auth & Users,"Epic Name: Auth & Users
Secure email/password auth with JWT and basic RBAC.",Auth & Users,,mvp backend auth,
{JIRA_PROJECT_KEY},Epic,E-LIST,Listings & Units,"Epic Name: Listings & Units
CRUD and search for listings and units with validation and indexes.",Listings & Units,,mvp backend api db,
{JIRA_PROJECT_KEY},Epic,E-AVH,Availability & Holds,"Epic Name: Availability & Holds
Per-unit calendars and time-boxed holds with TTL and expiry.",Availability & Holds,,mvp backend api db,
{JIRA_PROJECT_KEY},Epic,E-BOOK,Booking Flow,"Epic Name: Booking Flow
Confirm booking via consumed holds and mock payment.",Booking Flow,,mvp backend api,
{JIRA_PROJECT_KEY},Epic,E-ADMIN,Admin Minimal,"Epic Name: Admin Minimal
Approve listings and view bookings.",Admin Minimal,,mvp frontend admin,
{JIRA_PROJECT_KEY},Epic,E-FE,Frontend SPA,"Epic Name: Frontend SPA
React+TS app with routing, auth, listings, search, and UX basics.",Frontend SPA,,mvp frontend,
{JIRA_PROJECT_KEY},Epic,E-QA,Testing & Quality,"Epic Name: Testing & Quality
Test harnesses, coverage, lint/format, and e2e.",Testing & Quality,,mvp testing ci,
{JIRA_PROJECT_KEY},Epic,E-OBS,Observability Basics,"Epic Name: Observability Basics
Structured logging, ProblemDetails, health checks, correlation IDs.",Observability Basics,,mvp backend observability,
{JIRA_PROJECT_KEY},Epic,E-SEED,Seed & Fixtures,"Epic Name: Seed & Fixtures
Seed data and fixtures to demo flows and support tests.",Seed & Fixtures,,mvp db testing docs,
{JIRA_PROJECT_KEY},Task,T-INIT,Initialize monorepo with /backend /frontend /infra,"Create repo structure; add README, editorconfig, CODEOWNERS; enable C# nullable, analyzers, and TS strict.",,E-FND,mvp infra docs,1
{JIRA_PROJECT_KEY},Task,T-DCOMP,Docker Compose for Postgres and app stubs,"Compose services for Postgres 16, backend, frontend; volumes and healthchecks; .env.sample and README run steps.",,E-FND,mvp infra db,2
{JIRA_PROJECT_KEY},Task,T-ADR1,ADR-001 Monorepo & MVP stack,"Record decision drivers, options, decision, consequences; link from README.",,E-FND,mvp docs architecture,1
{JIRA_PROJECT_KEY},Task,T-DBMIG,EF Core initial schema & migrations,Implement EF models and migrations for User/Role/Listing/Unit; enable migration pipeline.,,E-FND,mvp backend db,2
{JIRA_PROJECT_KEY},Task,T-CI,GitHub Actions build test and image,PR: build+tests; main: build+tests+docker push; badges in README.,,E-FND,mvp ci infra,3
{JIRA_PROJECT_KEY},Task,T-USERSEED,User & Role tables with Admin seed,Create tables and seed Admin user with secure password.,,E-AUTH,mvp backend db auth,1
{JIRA_PROJECT_KEY},Story,S-AUTHAPI,JWT auth register and login endpoints,Email/password register/login; PBKDF2/BCrypt hashing; JWT with role claims.,,E-AUTH,mvp backend api auth,2
{JIRA_PROJECT_KEY},Task,T-AUTHZ,Minimal authorization middleware and policies,Attribute-based authorization; restrict Host/Admin operations.,,E-AUTH,mvp backend auth,1
{JIRA_PROJECT_KEY},Task,T-LUDOM,Listing & Unit domain and repository,"Entities, EF configurations, repositories with CRUD; unit tests.",,E-LIST,mvp backend db,1
{JIRA_PROJECT_KEY},Story,S-LISTCRUD,Listings CRUD REST endpoints,Create/read/update/delete listings and units; validate photoUrls as URLs.,,E-LIST,mvp backend api,3
